team_name,team_index,rd1_prob,rd2_prob,rd3_prob,rd4_prob,rd5_prob,rd6_prob,rd1_act,rd2_act,rd3_act,rd4_act,rd5_act,rd6_act,rd1_chalk,rd2_chalk,rd3_chalk,rd4_chalk,rd5_chalk,rd6_chalk,team_rating,team_region,team_seed
Utah State,50,0.505994712,0.06773532,0.022125786,0.007009077,0.001784128,0.000457803,0,0,0,0,0,0,1,0,0,0,0,0,82.26,Midwest,8
Washington,51,0.494005288,0.065142172,0.020542703,0.006295407,0.001580508,0.000400393,1,0,0,0,0,0,0,0,0,0,0,0,82.55,Midwest,9
Auburn,52,0.774212863,0.491551426,0.209451877,0.10957863,0.045057709,0.018024761,1,1,1,1,0,0,1,1,0,0,0,0,89.02,Midwest,5
New Mexico State,53,0.225787137,0.09046318,0.01853298,0.005270449,0.001152597,0.0002568,0,0,0,0,0,0,0,0,0,0,0,0,80.91,Midwest,12
Kansas,54,0.825215986,0.382696173,0.156335057,0.079138098,0.027770796,0.009591921,1,0,0,0,0,0,1,0,0,0,0,0,86.3,Midwest,4
Northeastern,55,0.174784014,0.035289221,0.005376261,0.001170888,0.000211488,3.94E-05,0,0,0,0,0,0,0,0,0,0,0,0,78.58,Midwest,13
Iowa State,56,0.672818443,0.328697223,0.145097609,0.059168841,0.022819593,0.008601787,0,0,0,0,0,0,1,0,0,0,0,0,86.12,Midwest,6
Ohio State,57,0.327181557,0.116970136,0.036446373,0.010599842,0.002977808,0.000837254,1,0,0,0,0,0,0,0,0,0,0,0,82.59,Midwest,11
Houston,58,0.891457523,0.532146811,0.234664774,0.095596543,0.034666721,0.012343243,1,1,0,0,0,0,1,1,0,0,0,0,87.89,Midwest,3
Georgia State,59,0.108542477,0.02218583,0.003396765,0.000497137,6.98E-05,1.02E-05,0,0,0,0,0,0,0,0,0,0,0,0,76.3,Midwest,14
Wofford,60,0.633499193,0.185529987,0.078656488,0.025003347,0.007437319,0.002204709,1,0,0,0,0,0,1,0,0,0,0,0,84.38,Midwest,7
Seton Hall,61,0.366500807,0.079082807,0.027712217,0.007234187,0.001861258,0.000482366,0,0,0,0,0,0,0,0,0,0,0,0,82.2,Midwest,10
Kentucky,62,0.969115415,0.731389742,0.473552877,0.242296583,0.113744476,0.05148869,1,1,1,0,0,0,1,1,1,0,0,0,91.24,Midwest,2
Abilene Christian,63,0.030884585,0.003997463,0.000472897,4.20E-05,3.49E-06,3.10E-07,0,0,0,0,0,0,0,0,0,0,0,0,72.33,Midwest,15
